niche,sample_no,temp_C,moist,ppm,Bag_ID,avg_blank,bag_avg,ppm_corrected,incubation_time
Wood,3,25,50,6.599676,A,15.129416,6.220324,-14.750064,24
Wood,5,25,50,6.990324,A,15.129416,6.220324,-14.359416,24
Wood,6,25,50,8.7207,A,15.129416,6.220324,-12.62904,24
Wood,7,25,50,9.313452,A,15.129416,6.220324,-12.036288,24
Wood,8,25,50,11.914676,A,15.129416,6.220324,-9.435064,24
Wood,9,25,50,15.644476,A,15.129416,6.220324,-5.705264,24
Wood,1,25,100,8.79954,A,15.129416,6.220324,-12.5502,24
Wood,2,25,100,10.700252,A,15.129416,6.220324,-10.649488,24
Wood,3,25,100,6.313636,A,15.129416,6.220324,-15.036104,24
Wood,4,25,100,21.986724,A,15.129416,6.220324,0.636984,24
Wood,5,25,100,10.275508,A,15.129416,6.220324,-11.074232,24
Wood,6,25,100,7.619852,A,15.129416,6.220324,-13.729888,24
Wood,7,25,100,24.915292,A,15.129416,6.220324,3.565552,24
Wood,8,25,100,5.586436,A,15.129416,6.220324,-15.763304,24
Wood,9,25,100,9.784044,A,15.129416,6.220324,-11.565696,24
Wood,1,25,150,10.518572,A,15.129416,6.220324,-10.831168,24
Wood,2,25,150,22.21982,A,15.129416,6.220324,0.87008,24
Wood,3,25,150,12.994436,A,15.129416,6.220324,-8.355304,24
Wood,4,25,150,24.246636,A,15.129416,6.220324,2.896896,24
Wood,5,25,150,30.287356,A,15.129416,6.220324,8.937616,24
Wood,6,25,150,36.15298,A,15.129416,6.220324,14.80324,24
Wood,7,25,150,12.266068,A,15.129416,6.220324,-9.083672,24
Wood,8,25,150,45.496852,A,15.129416,6.220324,24.147112,24
Wood,9,25,150,13.269508,A,15.129416,6.220324,-8.080232,24
Wood,1,35,25,8.670068,A,8.261408,6.220324,-5.811664,24.25
Wood,2,35,25,5.494332,A,8.261408,6.220324,-8.9874,24.25
Wood,3,35,25,12.578684,A,8.261408,6.220324,-1.903048,24.25
Wood,4,35,25,3.837876,A,8.261408,6.220324,-10.643856,24.25
Wood,5,35,25,3.752388,A,8.261408,6.220324,-10.729344,24.25
Wood,6,35,25,4.504132,A,8.261408,6.220324,-9.9776,24.25
Wood,7,35,25,9.069988,A,8.261408,6.220324,-5.411744,24.25
Wood,8,35,25,7.647684,A,8.261408,6.220324,-6.834048,24.25
Wood,9,35,25,3.120868,A,8.261408,6.220324,-11.360864,24.25
Wood,1,35,50,8.962932,A,8.261408,6.220324,-5.5188,24.25
Wood,2,35,50,11.625884,A,8.261408,6.220324,-2.855848,24.25
Wood,3,35,50,10.425164,A,8.261408,6.220324,-4.056568,24.25
Wood,4,35,50,5.008684,A,8.261408,6.220324,-9.473048,24.25
Wood,5,35,50,8.137172,A,8.261408,6.220324,-6.34456,24.25
Wood,6,35,50,6.69214,A,8.261408,6.220324,-7.789592,24.25
Wood,7,35,50,8.495428,A,8.261408,6.220324,-5.986304,24.25
Wood,8,35,50,5.63754,A,8.261408,6.220324,-8.844192,24.25
Wood,9,35,50,5.315188,A,8.261408,6.220324,-9.166544,24.25
Wood,1,35,100,15.77058,A,8.261408,6.220324,1.288848,24.25
Wood,2,35,100,18.93262,A,8.261408,6.220324,4.450888,24.25
Wood,3,35,100,11.909996,A,8.261408,6.220324,-2.571736,24.25
Wood,4,35,100,26.14122,A,8.261408,6.220324,11.659488,24.25
Wood,5,35,100,4.5995,A,8.261408,6.220324,-9.882232,24.25
Wood,6,35,100,4.7739,A,8.261408,6.220324,-9.707832,24.25
Wood,7,35,100,3.180812,A,8.261408,6.220324,-11.30092,24.25
Wood,8,35,100,38.855612,A,8.261408,6.220324,24.37388,24.25
Wood,9,35,100,3.194404,A,8.261408,6.220324,-11.287328,24.25
Wood,1,35,150,36.37582,A,8.261408,6.220324,21.894088,24.25
Wood,2,35,150,22.543388,A,8.261408,6.220324,8.061656,24.25
Wood,3,35,150,20.866588,A,8.261408,6.220324,6.384856,24.25
Wood,4,35,150,8.197268,A,8.261408,6.220324,-6.284464,24.25
Wood,5,35,150,12.579612,A,8.261408,6.220324,-1.90212,24.25
Wood,6,35,150,27.143124,A,8.261408,6.220324,12.661392,24.25
Wood,7,35,150,14.459708,A,8.261408,6.220324,-0.022024,24.25
Wood,8,35,150,5.070908,A,8.261408,6.220324,-9.410824,24.25
Wood,9,35,150,9.2611,A,8.261408,6.220324,-5.220632,24.25
